City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
258,Muros,ES,42.78,-9.06,88.0,47,0,7.0,clear sky,0.0,0
259,Blagodatnoye,RU,45.4,42.59,93.2,23,40,11.18,scattered clouds,0.0,0
260,Jeremoabo,BR,-10.07,-38.48,76.53,71,76,11.68,light rain,0.33,0
261,Wagga Wagga,AU,-35.12,147.37,41.0,100,100,3.56,overcast clouds,0.0,0
262,Asau,RO,46.43,26.4,62.01,82,100,5.93,moderate rain,1.83,0
263,Daru,PG,-9.08,143.21,77.2,90,100,16.51,moderate rain,1.13,0
264,Korla,CN,41.76,86.15,80.8,23,27,18.3,scattered clouds,0.0,0
265,Hokitika,NZ,-42.72,170.97,48.04,87,6,2.57,clear sky,0.0,0
266,Talavera De La Reina,ES,39.96,-4.83,97.25,18,100,3.18,overcast clouds,0.0,0
267,Nuevo Progreso,MX,23.17,-97.95,82.99,64,32,1.99,scattered clouds,0.0,0
268,Koutsouras,GR,35.03,25.95,81.59,52,0,8.77,clear sky,0.0,0
269,Itarema,BR,-2.92,-39.92,85.62,55,4,11.12,clear sky,0.0,0
270,Vao,NC,-22.67,167.48,71.13,81,0,20.58,clear sky,0.0,0
271,Kichera,RU,55.94,110.1,65.7,73,34,1.23,scattered clouds,0.0,0
272,Mumbwa,ZM,-14.98,27.06,83.55,17,0,8.61,clear sky,0.0,0
273,Sabzevar,IR,36.21,57.68,90.68,15,76,20.89,broken clouds,0.0,0
274,Porto Velho,BR,-8.76,-63.9,71.6,94,75,2.24,mist,0.0,0
275,Haines Junction,CA,60.75,-137.51,46.63,77,84,2.91,broken clouds,0.0,0
276,Fukue,JP,32.69,128.84,78.21,90,100,13.73,overcast clouds,0.0,0
277,Tuni,IN,17.35,82.55,85.64,75,100,6.4,overcast clouds,0.0,0
278,Ancud,CL,-41.87,-73.82,36.0,68,97,4.7,overcast clouds,0.0,0
279,Tapaua,CL,-41.87,-73.82,36.0,68,97,4.7,overcast clouds,0.0,0
280,Cidreira,BR,-30.18,-50.21,61.83,93,77,8.93,light rain,0.14,0
281,Samandag,TR,36.08,35.98,89.6,52,0,23.04,clear sky,0.0,0
282,Kalach-Na-Donu,RU,48.69,43.53,100.0,20,20,11.18,few clouds,0.0,0
283,Urumqi,CN,43.8,87.6,68.0,77,40,11.18,light intensity shower rain,0.0,0
284,Fauldhouse,GB,55.83,-3.71,69.01,60,93,1.99,overcast clouds,0.0,0
285,Lagos,NG,6.58,3.75,80.6,83,75,3.36,broken clouds,0.0,0
286,Mazyr,BY,52.05,29.25,57.09,83,97,15.08,overcast clouds,0.0,0
287,Ilulissat,GL,69.22,-51.1,48.2,70,42,6.93,scattered clouds,0.0,0
288,Dikson,RU,73.51,80.55,43.39,95,84,7.58,broken clouds,0.0,0
289,Ternate,ID,0.8,127.4,80.82,75,100,1.32,overcast clouds,0.0,0
290,Teguldet,RU,57.31,88.17,67.73,71,17,3.96,few clouds,0.0,0
291,Bombay,IN,19.01,72.85,87.01,94,90,8.05,haze,0.0,0
292,Saint Augustine,US,29.89,-81.31,86.0,83,1,5.82,clear sky,0.0,0
293,Mogapinyana,BW,-22.37,27.6,69.8,32,0,6.93,clear sky,0.0,0
294,Cabo San Lucas,MX,22.89,-109.91,86.0,51,5,3.36,clear sky,0.0,0
295,Aksarka,RU,66.56,67.8,65.46,53,100,7.87,overcast clouds,0.0,0
296,Spencer,US,43.14,-95.14,69.01,82,1,3.36,clear sky,0.0,0
297,Nerchinskiy Zavod,RU,51.31,119.61,68.04,39,0,2.91,clear sky,0.0,0
298,Payson,US,40.04,-111.73,71.01,46,1,2.39,clear sky,0.0,0
299,Manitouwadge,CA,49.12,-85.84,59.0,82,75,8.05,broken clouds,0.0,0
300,Alekseyevka,RU,50.63,38.69,81.7,54,0,7.2,clear sky,0.0,0
301,Terrasini,IT,38.15,13.08,87.01,65,0,16.11,clear sky,0.0,0
302,Kahului,US,20.89,-156.47,78.8,61,1,12.75,clear sky,0.0,0
303,Lensk,RU,60.73,114.93,67.44,92,100,5.68,light rain,0.66,0
