City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
416,Vaitupu,US,71.01,clear sky,41.12,-100.77,Holiday Inn Express & Suites North Platte
417,Tabat,ID,72.25,overcast clouds,-2.63,115.23,Perumahan PNS Senga Permai
418,Broome,US,75.0,scattered clouds,42.25,-75.83,Chenango Valley State Park
421,Ambon,ID,78.01,overcast clouds,-3.7,128.18,Swiss-Belhotel Ambon
427,Sao Miguel Do Araguaia,BR,87.22,clear sky,-13.28,-50.16,Hotel Executivo Palace
433,Hambantota,LK,87.8,broken clouds,6.12,81.12,Bungalow 63
434,Tumannyy,LK,87.8,broken clouds,6.12,81.12,Bungalow 63
437,Aldama,MX,82.99,scattered clouds,22.92,-98.07,CASA CANYE
438,Faya,SA,87.8,scattered clouds,18.39,42.45,مقبرة ال مجمل
440,Macae,BR,80.6,broken clouds,-22.37,-41.79,Personal Hotel
441,Havre De Grace,US,84.0,clear sky,39.55,-76.09,Super 8 by Wyndham Havre De Grace Aberdeen Area
445,Pombas,CV,82.4,broken clouds,17.15,-25.02,POUSADA O RECANTO
448,Kantunilkin,MX,78.8,few clouds,21.09,-87.45,Posada Paraiso
449,Lahaina,US,78.8,clear sky,20.88,-156.68,Lahaina Shores Beach Resort
450,Sharon,US,77.0,broken clouds,41.23,-80.49,Buhl Mansion Guesthouse & Spa
453,Eydhafushi,MV,84.42,broken clouds,5.1,73.07,Soneva Fushi
454,Acin,MV,84.42,broken clouds,5.1,73.07,Soneva Fushi
456,Beloha,MG,78.3,few clouds,-25.17,45.05,
457,Raga,SS,83.77,overcast clouds,8.46,25.68,
459,Mergui,CA,71.01,light rain,44.65,-63.57,Hotel Halifax
460,Hollins,US,80.01,few clouds,37.34,-79.94,"Country Inn & Suites by Radisson, Roanoke, VA"
463,Vanimo,PG,79.16,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
466,Margate,GB,71.01,broken clouds,51.38,1.39,Premier Inn Margate hotel
469,Laela,TZ,79.52,clear sky,-8.57,32.05,
470,Jawhar,SO,82.62,overcast clouds,2.78,45.5,Ceelbaraf high school
472,Sambava,MG,75.02,clear sky,-14.27,50.17,Melrose
473,Orbetello,IT,89.6,few clouds,42.44,11.22,Argentario Golf Resort & Spa
475,Siniscola,IT,84.2,clear sky,40.57,9.69,Hotel Sa Tanca E Bore
